system:index	BCI_max	BCI_mean	BCI_min	BCI_stdDev	BLFEI_max	BLFEI_mean	BLFEI_min	BLFEI_stdDev	BSI_max	BSI_mean	BSI_min	BSI_stdDev	Blue_p10	Blue_p25	Blue_p50	Blue_p75	Blue_p90	Brightness_max	Brightness_mean	Brightness_min	Brightness_stdDev	Green_p10	Green_p25	Green_p50	Green_p75	Green_p90	HAND	MNDWI_max	MNDWI_mean	MNDWI_min	MNDWI_stdDev	Map	NBR_max	NBR_mean	NBR_min	NBR_stdDev	NDBI_max	NDBI_mean	NDBI_min	NDBI_stdDev	NDSI_max	NDSI_mean	NDSI_min	NDSI_stdDev	NDVI_max	NDVI_mean	NDVI_min	NDVI_stdDev	NDWI_max	NDWI_mean	NDWI_min	NDWI_stdDev	NIR_contrast	NIR_corr	NIR_diss	NIR_ent	NIR_idm	NIR_p10	NIR_p25	NIR_p50	NIR_p75	NIR_p90	NIR_var	Red_p10	Red_p25	Red_p50	Red_p75	Red_p90	SWIR1_p10	SWIR1_p25	SWIR1_p50	SWIR1_p75	SWIR1_p90	SWIR2_p10	SWIR2_p25	SWIR2_p50	SWIR2_p75	SWIR2_p90	TPI	TWI	aspect	elevation	slope	.geo
0_0	0.16145994	0.13651861	0.115365125	0.014783928124968976	0.4193203	0.40412486	0.39321852	0.009107127	-0.0881997	-0.107527934	-0.12993945	0.012297363090553097	7562	7590	7660	7890.5	8191	10652.333333333334	9894.416666666668	9371.833333333334	460.9143313386213	8072	8144	8244.5	8711.5	9007	163.1001	-0.09823705	-0.117138505	-0.13335681	0.01032645	1	0.30732477	0.2664461	0.23895058	0.020514841367191713	-0.15623452	-0.18501176	-0.21333799	0.016319556778314388	-0.09823705	-0.117138505	-0.13335681	0.01032645	0.3623177	0.3134276	0.28076836	0.026998257	-0.26864183	-0.29563683	-0.33710417	0.022340396552040554	0	1	0	0	1	14002	14257	15612	16476.5	17375	0	7856	7880.5	7932	8305	8573	9905	10199	10609.5	11135.5	11371	8533	8587.5	8791	9253.5	9926	12.043478260869506	-2.876713043	354	2689	24	{"type":"MultiPoint","coordinates":[]}
1_0	0.14152394	0.124457	0.110370554	0.007766115	0.4142335	0.39970946	0.38945213	0.006190015	-0.08713222	-0.11572923	-0.16810763	0.02139258	7707	7710	7764	7879	7890	10502.166666666666	9949.924242424242	9597.166666666666	292.25967735602984	8335	8405	8471	8677	8780	164.2998	-0.09689465	-0.10156758	-0.11449176	0.004954401	1	0.35466784	0.27842915	0.24339092	0.029865038	-0.1657341	-0.2001651	-0.26855123	0.026499938043281837	-0.09689465	-0.10156758	-0.11449176	0.004954401	0.39506033	0.31654373	0.2809359	0.030152805352729795	-0.26834124	-0.29567248	-0.36024484	0.024080288667696268	0	1	0	0	1	14879	15064	15743	15931	16416	0	7967	7982	8095	8273	8310	10217	10222	10405	10755	10764	8608	8660	8771	9053	9182	4.405797101	-2.868740592	111	2433	8	{"type":"MultiPoint","coordinates":[]}
2_0	0.18297282	0.16474926	0.12722552	0.016093860482249384	0.42857143	0.4178182	0.40138173	0.007958268	-0.058160596	-0.098740235	-0.12858044	0.023657574449327257	7759	7845.5	7907	8039	8235	11429	10607.916666666668	10316.666666666666	295.1180751	8496	8606	8669.5	8931	9340	83	-0.09410018	-0.14537933	-0.17805883	0.019142024	1	0.3116455	0.27137703	0.21114625	0.034068179	-0.11774097	-0.1727578	-0.20983687	0.02955917	-0.09410018	-0.14537933	-0.17805883	0.019142024	0.36590946	0.32795915	0.2684899	0.032726297	-0.25948456	-0.31024697	-0.34652618	0.029027027706026484	0	1	0	0	1	15754	16191	17009	17400	17641	0	8080	8172.5	8439	8650	9228	11444	11568.5	11914	12055.5	12263	9108	9231	9612	9984	10227	1.2463768115940184	-2.743235171	353	2331	7	{"type":"MultiPoint","coordinates":[]}
3_0	0.23291744	0.19110326	0.16387273	0.018662831786234135	0.46070048	0.43520057	0.4181348	0.011184866692915787	-0.11475272	-0.13636573	-0.14932816	0.01077117	7710	7717	7880.5	8021	8093	11940	11030.555555555555	10497.5	436.1255146241835	8504	8622.5	8847.5	9182	9345	76.80005	-0.14032745	-0.15903218	-0.18683606	0.015061231	1	0.3583033	0.3315951	0.30423102	0.015156676885689148	-0.1975079	-0.22035185	-0.23397723	0.012728036128269383	-0.14032745	-0.15903218	-0.18683606	0.015061231	0.43882427	0.39467737	0.35914248	0.022821169029036956	-0.33018494	-0.36646172	-0.39908358	0.018533729336951552	0	1	0	0	1	18115	18402.5	18895	19678	21125	0	8093	8137	8190.5	8534.5	8646	11532	11895.5	12140	12426.5	13174	9235	9322	9470.5	9824.5	10520	-2.826086957	-2.743258601	90	2672	7	{"type":"MultiPoint","coordinates":[]}
4_0	0.22771025	0.18895091	0.036645353	0.048374898	0.45296255	0.42613837	0.35149008	0.025371816693743682	0.007594187	-0.053744987	-0.12575889	0.04092117	7917	8029	8221	8362.5	8641	12318	11113.180555555557	8201.166666666666	964.2754343199821	8834	8889.5	9148	9281	9557	0	-0.032708563	-0.18081273	-0.24245699	0.049196317	1	0.334992	0.21232031	0.092335895	0.071003347	-0.035208315	-0.10826324	-0.19979994	0.052984986	-0.032708563	-0.18081273	-0.24245699	0.049196317	0.4078089	0.29008242	0.0979331	0.078935579	-0.094027884	-0.28293306	-0.37900716	0.067997597	0	1	0	0	1	15104	15812.5	16707	17892	19343	0	8383	8534.5	8900	9599.5	9622	12405	13024.5	13591.5	14059	14345	9525	10167	10634.5	11528.5	11787	-2.550724638	3.690413464	45	2109	5	{"type":"MultiPoint","coordinates":[]}
5_0	0.22828513	0.18845111	0.14954124	0.019487690291087482	0.45956546	0.43603814	0.41408524	0.011203051	-0.11047965	-0.13652699	-0.16513912	0.015318441422817672	7713	7839	7910.5	8141	8224	12505.833333333334	11208.107142857141	10583.5	552.5812969	8687	8877	9074	9179	9780	92.3999	-0.11177995	-0.15032646	-0.1786689	0.016795761789172477	1	0.37667504	0.3320848	0.29794472	0.022547512250439227	-0.19966555	-0.22162084	-0.2559044	0.017258547274764988	-0.11177995	-0.15032646	-0.1786689	0.016795761789172477	0.4547366	0.39337736	0.3390824	0.028437301363695985	-0.31228507	-0.35980195	-0.41271842	0.024762034387643836	0	1	0	0	1	18003	18270	19173	20340	21041	0	8120	8193	8337	8684	8852	11874	11965	12123.5	12668	13298	9357	9403	9571.5	9862	10652	5.173913043478478	-2.566548272	27	2862	12	{"type":"MultiPoint","coordinates":[]}
6_0	0.12341128	0.11781327	0.11115464	0.004015954	0.39722297	0.39282373	0.38557357	0.003223499	-0.064498395	-0.09928549	-0.12488672	0.015233604350892698	7644	7648	7711	7826	7844	10442	9726.121212121214	9385.666666666666	284.5213603572146	8141	8201	8256	8560	8601	77.80005	-0.093197055	-0.10473543	-0.11109898	0.004832658	1	0.2857203	0.2508283	0.21032	0.019683435524879448	-0.14288951	-0.17809515	-0.21264891	0.018046238280250013	-0.093197055	-0.10473543	-0.11109898	0.004832658	0.31853	0.289787	0.2500723	0.017773628	-0.24775258	-0.27764988	-0.2999024	0.014316210289640634	0	1	0	0	1	14337	14353	14779	15270	15272	0	7918	7966	8001	8262	8424	9947	10093	10209	10571	10734	8523	8635	8707	9133	9204	-0.275362319	-1.542484569	117	2441	4	{"type":"MultiPoint","coordinates":[]}
7_0	0.18904442	0.17798506	0.16544136	0.007015996	0.43293285	0.42571494	0.41981956	0.003719064	-0.10016556	-0.11545635	-0.16213422	0.016241568561096043	7646	7717	7992.5	8039.5	8080	10903.166666666666	10565.708333333334	10186.666666666666	199.06328238393877	8368	8476.5	8674.5	8821	8886	124.69995	-0.14128333	-0.15450415	-0.16887252	0.007887677	1	0.3553157	0.29731572	0.27477688	0.021416841611123692	-0.1703741	-0.1908579	-0.25117755	0.02116775	-0.14128333	-0.15450415	-0.16887252	0.007887677	0.40987867	0.35664693	0.33883658	0.020090035	-0.31779516	-0.3354372	-0.38188767	0.018178778644559173	0	1	0	0	1	16768	16909.5	17287	17531.5	18040	0	8023	8064	8219.5	8413	8490	11664	11677.5	11787.5	11961	11997	9229	9275.5	9324.5	9593	9659	4.666666666666515	-3.082017046	100	2811	10	{"type":"MultiPoint","coordinates":[]}
8_0	0.21633969	0.17699385	0.14750163	0.016394429269156303	0.4472387	0.42523953	0.40640128	0.009971664	-0.09973884	-0.1373161	-0.17003718	0.023057827	7747	7833	7916	7999	8039	12262.166666666666	10838.642857142857	10429.166666666666	465.1868495439835	8470	8527	8692.5	8809	9172	217.30005	-0.13624883	-0.1534984	-0.18564443	0.012869143192476142	1	0.38333037	0.32829744	0.2709508	0.034124747	-0.17847167	-0.22229397	-0.26631182	0.028534171899793986	-0.13624883	-0.1534984	-0.18564443	0.012869143192476142	0.45635894	0.38377246	0.3176122	0.036710584122223264	-0.30724925	-0.3631533	-0.4306645	0.032043449	0	1	0	0	1	17040	17454	18594	19753	20014	0	8020	8127	8276.5	8425	8748	11471	11476	11755	11966	12689	9054	9222	9348.5	9499	10259	1.3768115942029908	-1.988221327	0	2359	3	{"type":"MultiPoint","coordinates":[]}
9_0	0.17721266	0.16074908	0.13023302	0.013129639343791334	0.43053052	0.41799653	0.4011964	0.00768258	-0.085223675	-0.09631201	-0.1148913	0.009334045	7661	7827	7918	8034	8118	11835.666666666666	10357.474358974361	9961.166666666666	465.17113313617665	8378	8571	8751	8833	9166	17.899902	-0.110658325	-0.13539216	-0.15219592	0.012277826426946149	1	0.28763983	0.26676077	0.24919659	0.011743729	-0.14790915	-0.1667495	-0.19155785	0.012005150535474175	-0.110658325	-0.13539216	-0.15219592	0.012277826426946149	0.3420997	0.31892237	0.29508263	0.014576756267225498	-0.27684417	-0.29547316	-0.3176658	0.011127354115674873	0	1	0	0	1	15366	15700	16043	16293	16517	0	8012	8083	8235	8349	8809	11097	11243	11404	11686	11758	9021	9112	9167	9462	9582	-0.260869565	-1.788195792	149	2632	11	{"type":"MultiPoint","coordinates":[]}
10_0	0.21125431	0.19737467	0.1774359	0.008735123	0.4463333	0.43798965	0.42638195	0.005407214	-0.093472116	-0.12456795	-0.15025994	0.015490177034664297	7610	7677	7891	7963	7996	11602.333333333334	10913.469696969698	10359.666666666666	328.56618276295393	8492	8554	8878	8977	8994	146.09985	-0.1512894	-0.16612017	-0.17836903	0.008107564	1	0.35080743	0.3190284	0.2723012	0.022650569253164797	-0.16146454	-0.20263106	-0.2369071	0.020490236125336764	-0.1512894	-0.16612017	-0.17836903	0.008107564	0.40862507	0.3845291	0.3442929	0.020454137	-0.32202306	-0.35671037	-0.37573436	0.017417165374868513	0	1	0	0	1	16967	18097	18851	19231	19532	0	8077	8128	8222	8421	8421	11955	12050	12268	12545	12829	9387	9420	9508	9850	9884	-2.666666667	-0.470851333	49	3065	8	{"type":"MultiPoint","coordinates":[]}
11_0	0.2552913	0.21082734	0.18371658	0.017136932496621793	0.4746761	0.44737196	0.4317225	0.010657383834008077	-0.11730786	-0.1500712	-0.1786727	0.017790531114626758	7674	7810.5	8028	8232	8312	12402.5	11546.486111111111	10985	477.15238199178344	8683	8802	9139.5	9363.5	9556	223.6001	-0.15116714	-0.17167245	-0.20093256	0.011969232724754796	1	0.40816447	0.35512808	0.31476557	0.026778016	-0.19247247	-0.23479007	-0.26437998	0.020582478028000836	-0.15116714	-0.17167245	-0.20093256	0.011969232724754796	0.4868143	0.42433456	0.38097805	0.02786999	-0.35307163	-0.390578	-0.44184083	0.023142877	0	1	0	0	1	19217	19975	20440.5	22041	22543	0	8028	8249.5	8297.5	8609.5	8802	12293	12421	12699.5	13456	13903	9511	9582	9791	10161	10558	-3.275362319	-1.983408027	34	2728	10	{"type":"MultiPoint","coordinates":[]}
