Feature,Global_SHAP_Importance
Red_p50,0.8291588380356004
NBR_stdDev,0.39240969516719126
SWIR2_p25,0.1401299041275925
NDVI_min,0.1276077638730861
NDVI_mean,0.10703640351655709
NBR_max,0.08648543174211522
BLFEI_mean,0.08546685888225722
Brightness_max,0.05272626654267423
Blue_p10,0.04752802122332324
Red_p25,0.04501557714533928
elevation,0.03472342166989628
NIR_p25,0.03313932830591395
BLFEI_max,0.03148140736148926
Green_p90,0.030738455513445496
BCI_mean,0.030047014078007774
NDBI_min,0.029132206266590424
SWIR1_p50,0.026135735680975346
MNDWI_mean,0.024128326845103895
NIR_p90,0.0190179758308432
BSI_stdDev,0.017806869694316912
SWIR1_p10,0.015791293350783785
NIR_p50,0.014243025627188583
BSI_max,0.013277716615775906
SWIR1_p90,0.012919201099075808
SWIR2_p10,0.010848361739265035
Blue_p25,0.010575083002374109
NDSI_min,0.010481075423776713
SWIR2_p50,0.009137164041123217
NDVI_max,0.008909802442844434
NDSI_mean,0.008415029652693608
MNDWI_stdDev,0.008378828089744274
TWI,0.008242525374830114
Red_p75,0.006315160325999405
Green_p25,0.004489217236497893
NDBI_stdDev,0.0030474306292281234
BLFEI_min,0.002924065717706126
NIR_p10,0.0021289276898818874
Blue_p90,0.0
BCI_min,0.0
BCI_stdDev,0.0
BLFEI_stdDev,0.0
BSI_mean,0.0
BCI_max,0.0
Blue_p75,0.0
Blue_p50,0.0
BSI_min,0.0
NBR_min,0.0
Green_p10,0.0
Brightness_mean,0.0
Brightness_min,0.0
NDWI_min,0.0
NDWI_mean,0.0
NDWI_max,0.0
NDVI_stdDev,0.0
NDSI_stdDev,0.0
NDBI_max,0.0
NDBI_mean,0.0
NDSI_max,0.0
Green_p75,0.0
Green_p50,0.0
Brightness_stdDev,0.0
HAND,0.0
MNDWI_min,0.0
MNDWI_max,0.0
NBR_mean,0.0
NDWI_stdDev,0.0
Red_p10,0.0
NIR_var,0.0
NIR_p75,0.0
NIR_contrast,0.0
NIR_diss,0.0
NIR_corr,0.0
NIR_idm,0.0
NIR_ent,0.0
SWIR1_p75,0.0
SWIR1_p25,0.0
Red_p90,0.0
SWIR2_p75,0.0
TPI,0.0
SWIR2_p90,0.0
aspect,0.0
slope,0.0
