Feature,Global_SHAP_Importance
BCI_mean,1.3737713
NBR_stdDev,0.81533587
SWIR2_p10,0.511265
BLFEI_mean,0.5102698
Red_p50,0.5032315
NIR_p50,0.46519944
BSI_max,0.40626007
BSI_min,0.37094188
SWIR2_p25,0.29220754
Red_p75,0.25835952
NDVI_mean,0.23859307
NDVI_stdDev,0.23600104
Green_p90,0.23358433
BLFEI_max,0.2313847
TWI,0.17951636
NIR_p10,0.1549887
NBR_max,0.14373173
SWIR1_p10,0.13383165
Green_p25,0.13378118
NBR_min,0.13154653
Green_p10,0.12706278
Red_p10,0.1232658
HAND,0.12165367
elevation,0.11230243
SWIR2_p75,0.10808911
SWIR2_p50,0.105821505
NDWI_max,0.09833934
Red_p25,0.097965844
NIR_p90,0.09681873
NDVI_min,0.09416029
BSI_stdDev,0.08596498
NDBI_min,0.07881706
BCI_max,0.074558645
BLFEI_stdDev,0.07444418
NIR_p25,0.07370149
NBR_mean,0.07101457
NDWI_min,0.070567116
MNDWI_max,0.069632865
NDVI_max,0.06738821
MNDWI_mean,0.0666403
SWIR2_p90,0.0665369
Brightness_max,0.060703754
Green_p75,0.059016787
MNDWI_stdDev,0.05731167
Brightness_mean,0.05178119
Brightness_stdDev,0.051175307
BLFEI_min,0.049826894
Brightness_min,0.047457222
NDBI_max,0.045909703
BCI_stdDev,0.04544065
SWIR1_p25,0.043263637
slope,0.039997146
Blue_p10,0.035600398
NDBI_stdDev,0.034205165
Red_p90,0.032249108
MNDWI_min,0.032008756
aspect,0.031584192
Blue_p50,0.029731859
TPI,0.02634806
Blue_p90,0.025794024
Blue_p25,0.025378827
BSI_mean,0.022118373
NDWI_stdDev,0.022030046
NIR_p75,0.021424366
Green_p50,0.016707186
SWIR1_p90,0.0153283905
BCI_min,0.01418962
SWIR1_p75,0.012513161
Blue_p75,0.012259
NDWI_mean,0.010708261
SWIR1_p50,0.009344184
NDBI_mean,0.009257046
NDSI_mean,0.0
NDSI_min,0.0
NDSI_stdDev,0.0
NDSI_max,0.0
NIR_var,0.0
NIR_corr,0.0
NIR_diss,0.0
NIR_ent,0.0
NIR_idm,0.0
NIR_contrast,0.0
