Feature,Global_SHAP_Importance
Red_p25,0.06768881057829984
NDBI_mean,0.06583275389414764
NBR_mean,0.06427715430829303
Red_p75,0.060463634234548834
Blue_p75,0.05241357541717421
Red_p50,0.050598500414580125
BSI_stdDev,0.05034353636926631
SWIR2_p75,0.047468590090866604
NDVI_min,0.045891210628595275
NBR_stdDev,0.04505519508038338
NDVI_mean,0.04356627883860659
BSI_mean,0.040515837894560904
NDWI_max,0.03854503999724203
BSI_max,0.03721703220046451
Green_p25,0.036477913015211624
NDVI_stdDev,0.03611512244636822
NDBI_stdDev,0.03441703173355589
NDWI_mean,0.03421880315457775
NDWI_stdDev,0.03344959813620181
SWIR2_p90,0.03298771098814614
SWIR2_p25,0.032380209318028375
NBR_min,0.029460736333667442
SWIR2_p50,0.02857256476459503
BLFEI_mean,0.024344747121350364
Blue_p50,0.023821523716621537
BLFEI_max,0.02353791387388893
Red_p90,0.022907031865034046
Green_p10,0.02266423965344122
Red_p10,0.02210183608912513
NDVI_max,0.021589802516041912
BCI_mean,0.020432353931518335
Blue_p25,0.02024678142385732
NDBI_min,0.01973217102278939
SWIR1_p50,0.019246478055201115
Green_p75,0.018783418668430148
BLFEI_min,0.01694766547009607
NIR_p10,0.016207319963149995
Blue_p10,0.01608219650619125
BCI_max,0.015604210011078094
Brightness_mean,0.015580473512327853
NIR_p50,0.01489366456295715
BSI_min,0.014860873815594026
Green_p50,0.014581813663566682
MNDWI_mean,0.014502844441404301
NIR_p25,0.014412935454483859
NDBI_max,0.014227649254825767
SWIR2_p10,0.014217711228633257
NDWI_min,0.013441651431153797
SWIR1_p10,0.01341713919458668
NBR_max,0.012443622690762643
SWIR1_p75,0.012000648230753386
NDSI_mean,0.011984137057675011
BLFEI_stdDev,0.011704653986344984
SWIR1_p25,0.010677227137701997
Green_p90,0.010027724822608056
NDSI_min,0.009807424369727225
NDSI_stdDev,0.00962220208560676
BCI_stdDev,0.009141190588637204
NIR_p90,0.008484164093338187
MNDWI_stdDev,0.008403351182508957
elevation,0.00817313765866938
SWIR1_p90,0.007628479704765342
MNDWI_max,0.007627724340326891
NDSI_max,0.007423042789417386
Brightness_max,0.007291121331254302
BCI_min,0.007127493346340532
MNDWI_min,0.006153226590333848
NIR_p75,0.005452413836729421
Brightness_min,0.005229765143833003
Brightness_stdDev,0.004203602992060989
Blue_p90,0.004179426040845778
HAND,0.0032998490248830107
slope,0.0032294064356227347
TWI,0.0031952295068384895
TPI,0.0023369332496072323
aspect,0.0016882417588727806
NIR_var,0.0
NIR_corr,0.0
NIR_diss,0.0
NIR_ent,0.0
NIR_idm,0.0
NIR_contrast,0.0
