Feature,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Total_Importance
Red_p25,0.03294635307834805,0.007011677151647282,0.0185638398365042,0.002303851778683125,0.001862177059520935,0.005000911673596333,0.06768881057829992
NDBI_mean,0.027166319313084154,0.004943093218613204,0.022016923829469785,0.0015263275020652798,0.005797967293263356,0.00438212273765188,0.06583275389414767
NBR_mean,0.025258860672866458,0.006530062406268002,0.022595520630808212,0.0010799732812644578,0.00515565359788638,0.0036570837191994554,0.06427715430829298
Red_p75,0.029795518172531617,0.004008845837712738,0.0192139905068327,0.001891361491176677,0.001955396719745414,0.0035985215065497357,0.06046363423454888
Blue_p75,0.025478219297271645,0.004301323129545274,0.0159091366779822,0.00145201845176985,0.0013059095194413047,0.003966968341163902,0.052413575417174174
Red_p50,0.023464563752170632,0.0026059758137100437,0.01769537773183893,0.001276895601082242,0.0022286643019927086,0.003327023213785589,0.050598500414580146
BSI_stdDev,0.00813531656526311,0.0028244022859258925,0.023055256833697434,0.003264066985293914,0.004965646529605558,0.008098847169480386,0.05034353636926629
SWIR2_p75,0.02082264216178945,0.002960728400287714,0.01563246292455272,0.0013792016442350525,0.0023189892824895717,0.004354565677512118,0.04746859009086663
NDVI_min,0.01892051692558407,0.004548981047432206,0.014564421219753997,0.0007953738926325531,0.003448368088092871,0.003613549455099647,0.045891210628595344
NBR_stdDev,0.009966934449354401,0.0031053116448971447,0.020502898772976598,0.0013185875805950427,0.0024996574446542945,0.007661805187905882,0.04505519508038336
NDVI_mean,0.012932809911906736,0.008789943183567642,0.015083868920708154,0.0018468933072273736,0.0026320840391748667,0.0022806794760217735,0.04356627883860654
BSI_mean,0.01525637617984493,0.0048140778212645025,0.01315423104132329,0.0007873737956654671,0.0038424317470074883,0.002661347309455168,0.04051583789456085
NDWI_max,0.01665349391941319,0.0027847066633339013,0.013206642394089764,0.0008456679041290613,0.001991048161351147,0.003063480954924948,0.038545039997242014
BSI_max,0.017406849320654075,0.004178351402187147,0.009714267983586995,0.0007377719699265043,0.0022096852440867125,0.0029701062800230795,0.03721703220046452
Green_p25,0.01699762681433392,0.004390292259846484,0.00870348278009317,0.0010472533460103323,0.0013493822625052965,0.003989875552422462,0.036477913015211666
NDVI_stdDev,0.00590716072161237,0.0027374195130426353,0.016742157843704565,0.0024363096019920393,0.0011667928649959716,0.00712528190102067,0.036115122446368254
NDBI_stdDev,0.005543342793504668,0.0026873277843700973,0.014982229349103478,0.0017369939333637986,0.0015897087672850263,0.007877429105928861,0.034417031733555925
NDWI_mean,0.010034506643132142,0.006008436745867165,0.012577776736239252,0.0008470685571096147,0.0032321400025200936,0.0015188744697094481,0.03421880315457772
NDWI_stdDev,0.004782333828315244,0.0015900179375957977,0.015906925633533735,0.0023688836269551454,0.0017186192718893583,0.007082817837912532,0.03344959813620181
SWIR2_p90,0.01431395511348867,0.003040280622663087,0.009759097169796086,0.0008126092933212456,0.002085958190442177,0.002975810598434862,0.032987710988146124
SWIR2_p25,0.009884247350071011,0.0022355017411860257,0.008207184518565253,0.0013800408167545545,0.004788858838928513,0.005884376052523008,0.03238020931802837
NBR_min,0.013376119492527143,0.0023892792258446956,0.010097047567296324,0.0006878088317478014,0.0011865843757333022,0.0017238968405181721,0.029460736333667435
SWIR2_p50,0.011521897115637518,0.002663369331492138,0.00798670958506206,0.00038862530695522613,0.001991244570833859,0.004020718854614238,0.028572564764595042
BLFEI_mean,0.002605435474546326,0.008700164303780577,0.008337524173164832,0.001171377527608754,0.0012247368486812801,0.0023055087935686005,0.024344747121350367
Blue_p50,0.011078814432301737,0.0024801781850353165,0.005341394849858881,0.0013437660336707952,0.001236043858806407,0.0023413263569483983,0.023821523716621537
BLFEI_max,0.0006993455004277869,0.003057833822338294,0.008561588403467171,0.002868773713283008,0.0020882894517772954,0.006262082982595392,0.023537913873888948
Red_p90,0.011039760654785364,0.0019464874552851924,0.006520566693470051,0.0008627361214176908,0.0006567913418586191,0.0018806895982171382,0.022907031865034053
Green_p10,0.008356600548989752,0.003214246694818736,0.006296412058360513,0.0007065075792977383,0.001090206552462192,0.0030002662195123208,0.022664239653441248
Red_p10,0.007256553026981634,0.002362873274120125,0.005817869061485082,0.0014629712356802136,0.0005849800303250567,0.0046165894605330006,0.02210183608912511
NDVI_max,0.0016095487550916215,0.0015737493400833646,0.008082975843690164,0.0029658765216003416,0.002294666898689806,0.0050629851568866095,0.02158980251604191
BCI_mean,0.0012284969113402673,0.006833840883850268,0.006121371349763754,0.0017406405009018524,0.0018195186940011489,0.002688485591661066,0.020432353931518356
Blue_p25,0.008653264613598893,0.0018837949237919278,0.006063708060429236,0.000562229715356004,0.0006522011091596318,0.002431583001521637,0.02024678142385733
NDBI_min,0.0009720078377568617,0.002700728928432842,0.009183174650184651,0.0007287444336939862,0.0014777652783107141,0.004669749894410335,0.019732171022789388
SWIR1_p50,0.006085346427933511,0.004102388494535804,0.00428116118661417,0.0010222679116642763,0.0020198689967837647,0.0017354450376695976,0.019246478055201122
Green_p75,0.008127935251560373,0.004113288986721034,0.0034516858762603645,0.0006452554009042143,0.0010828213007295679,0.0013624318522545938,0.018783418668430148
BLFEI_min,0.0019861187700509052,0.005692031899206662,0.005383666687888727,0.0011593602341297912,0.0008976008001136883,0.0018288870787062856,0.01694766547009606
NIR_p10,0.002583553191170363,0.002192210292186864,0.0070664488777080646,0.0004558045599941675,0.000981230604660773,0.002928072437429769,0.016207319963150002
Blue_p10,0.003770286876356978,0.002163181036328674,0.0045735953520067135,0.0005297708909338629,0.0007428215648483043,0.004302540785716712,0.016082196506191245
BCI_max,0.00040672384761167546,0.001954044319741361,0.005977763369918176,0.0019908673170200277,0.0009930462507115405,0.00428176490607532,0.0156042100110781
Brightness_mean,0.004581355563100808,0.003612101883088029,0.0029034013567578875,0.0005278862074330807,0.0024889134686489466,0.0014668150332990883,0.01558047351232784
